Iecavas novads,Bauskas apriņķis,B,Iecavas Kultūras nama Jauniešu deju kolektīvs,Solveiga Lineja,"55,7",Augstākā pakāpe,"45,7",10
Ilūkstes novads,Daugavpils apriņķis,B,Ilūkstes novada kultūras centra jauniešu deju kolektīvs “Labrīt”,Antonija Stalidzāne,"55,7",Augstākā pakāpe,"45,7",10
Jēkabpils pilsēta,Jēkabpils apriņķis,B,Jēkabpils pilsētas Krustpils kultūras nama jauniešu deju kolektīvs “Delveri”  ,Ingrīda Feldmane,"55,7",Augstākā pakāpe,"45,7",10
Lielvārdes novads,Ogres apriņķis,B,Lielvārdes novada Kultūras centra struktūrvienības Jumpravas kultūras nams jauniešu deju kolektīvs “Jumpraviņa”   ,Aija Ērgle,"55,7",Augstākā pakāpe,"45,7",10
Mazsalacas novads,Valmieras apriņķis,B,"Mazsalacas Kultūras centra jauniešu deju kolektīvs ""Magone""",Aija Vidovska,"55,7",Augstākā pakāpe,"45,7",10
Pļaviņu novads,Aizkraukles apriņķis,B,"Pļaviņu novada kultūras centra Jauniešu deju kolektīvs ""Daugaviņa""",Ineta Reitere,"55,7",Augstākā pakāpe,"45,7",10
Talsu novads,Talsu apriņķis,B,Talsu Tautas nama jauniešu deju kolektīvs “Delveri”   ,Lita Freimane,"55,7",Augstākā pakāpe,"45,7",10
Līvānu novads,Preiļu apriņķis,B,Līvānu novada kultūras centra Tautas deju ansamblis “Silava” ,Andrejs Usārs,"55,3",Augstākā pakāpe,"45,3",10
Preiļu novads,Preiļu apriņķis,B,Preiļu novada Jāņa Eglīša Preiļu Valsts ģimnāzijas un Preiļu novada kultūras centra jauniešu deju kopa “Dancari”  ,Ilze Broka,"55,2",Augstākā pakāpe,"45,2",10
Rīgas pilsēta,Rīgas pilsēta,B,Rīgas pašvaldības kultūras iestāžu apvienības Kultūras un atpūtas centra „Imanta” jauniešu deju kolektīvs „Imanta”,Aija Konstante,"55,2",Augstākā pakāpe,"45,2",10
Cēsu novads,Cēsu apriņķis,B,"Cēsu novada Cēsu Valsts ģimnāzijas Jauniešu deju kolektīvs ""Kande""",Andis Kozaks,"55,0",Augstākā pakāpe,"45,0",10
Durbes novads,Liepājas apriņķis,B,Durbes novada Vecpils pagasta saieta nama jauniešu deju kolektīvs “Lāņupīte”   ,Sandra Blumbaha,"55,0",Augstākā pakāpe,"45,0",10
Lubānas novads,Madonas apriņķis,B,Lubānas novada Lubānas pilsētas kultūras nama jauniešu deju kolektīvs “Žuburi”  ,Laila Ozoliņa,"54,8",I pakāpe,"44,8",10
Mālpils novads,Siguldas apriņķis,B,"Mālpils novada kultūras centra Jauniešu deju kolektīvs ""Māra""",Maija Orlova,"54,8",I pakāpe,"44,8",10
Rēzeknes pilsēta,Rēzeknes apriņķis,B,Rēzeknes pilsētas pašvaldības aģentūras “Rēzeknes Kultūras un tūrisma centrs” jauniešu deju kopa “Dziga”,Inga Drele,"54,8",I pakāpe,"44,8",10
Ērgļu novads,Madonas apriņķis,B,Ērgļu novada Ērgļu pagasta Ērgļu saieta nama jauniešu deju kolektīvs “Rūdis”,Antra Grīnberga,"54,7",I pakāpe,"44,7",10
Gulbenes novads,Gulbenes apriņķis,B,"Litenes pagasta tautas nama Jauniešu deju kolektīvs ""Litenietis""",Zaiga Mangusa,"54,7",I pakāpe,"44,7",10
